,0
0,3.1439154148101807
1,2.5544660091400146
2,6.076338291168213
3,7.125307559967041
4,6.605986595153809
5,6.668051242828369
6,6.770632266998291
7,3.5508201122283936
8,3.533588171005249
9,6.205780506134033
10,4.981553554534912
11,4.930657863616943
12,5.568737506866455
13,6.157163619995117
14,5.960475444793701
15,6.577054977416992
16,3.8101742267608643
17,6.042476654052734
18,5.729716777801514
19,5.721014499664307
20,3.585399866104126
21,3.768902540206909
22,2.844653844833374
23,3.4530029296875
24,4.560830116271973
25,4.291728496551514
26,5.256374359130859
27,5.329089641571045
28,5.375078201293945
29,5.127954959869385
30,4.55479621887207
31,3.0229837894439697
32,4.7315826416015625
33,5.562994480133057
34,5.631478309631348
35,5.559558868408203
36,4.685326099395752
37,4.053262233734131
38,5.141897678375244
39,6.296351432800293
40,5.238890647888184
41,4.148565769195557
42,4.232125282287598
43,4.908984661102295
44,4.827455043792725
45,3.787109136581421
46,2.828936815261841
47,2.906496286392212
48,3.6520707607269287
49,4.1844801902771
50,3.5545601844787598
51,3.7992918491363525
52,2.8220744132995605
53,6.738335132598877
54,6.64372444152832
55,5.319021224975586
56,5.381322383880615
57,6.02195405960083
58,6.616530895233154
59,6.99200439453125
60,7.288712978363037
61,7.258429050445557
62,6.3601202964782715
63,6.673905849456787
64,6.725148677825928
65,5.194332599639893
66,4.056421279907227
67,5.115321636199951
68,4.22566556930542
69,5.783352375030518
70,5.774734973907471
71,4.5545172691345215
72,4.519606113433838
73,4.465360641479492
74,4.239208698272705
75,4.312623023986816
76,4.169285297393799
77,3.0595703125
78,2.117457866668701
79,2.4643588066101074
80,3.1547091007232666
81,3.3679211139678955
82,4.461723327636719
83,2.367713212966919
84,6.043811798095703
85,5.773270606994629
86,5.70611572265625
87,4.851260662078857
88,5.155232906341553
89,4.650696277618408
90,4.146108150482178
91,4.224782466888428
92,4.710609436035156
93,4.593454360961914
94,4.704075336456299
95,5.095712661743164
96,6.518510818481445
97,4.129652500152588
98,6.0388503074646
99,7.496204853057861
100,2.5890684127807617
101,6.408878326416016
102,7.903094291687012
