,0
0,2.2524917125701904
1,5.880601406097412
2,6.158673286437988
3,5.45833158493042
4,2.83229660987854
5,3.7205636501312256
6,4.525297164916992
7,3.8616394996643066
8,6.467490196228027
9,5.607620716094971
10,3.132068395614624
11,7.382512092590332
12,5.245452880859375
13,5.702939987182617
14,5.447232723236084
15,6.764343738555908
16,2.86921763420105
17,4.128503322601318
18,4.62063455581665
19,3.9117729663848877
20,6.048926830291748
21,6.143281936645508
22,5.716118335723877
23,4.431634426116943
24,5.103025913238525
25,5.917426586151123
26,6.632345676422119
27,1.5354429483413696
28,3.020428419113159
29,4.303906440734863
30,5.383197784423828
31,6.586696147918701
32,6.25166130065918
33,5.552505970001221
34,6.460187911987305
35,5.559727191925049
36,3.344233989715576
37,5.059881210327148
38,5.64702033996582
39,5.591808319091797
40,5.47353458404541
41,4.290817737579346
42,1.7270495891571045
43,2.755239486694336
44,1.9311866760253906
45,2.8562560081481934
46,4.932160377502441
47,5.554400444030762
48,6.2796759605407715
49,4.497138023376465
50,5.369192600250244
51,5.18904972076416
52,4.96709680557251
53,5.503994941711426
54,4.4916839599609375
55,2.5431909561157227
56,3.591242551803589
57,4.762079238891602
58,4.939079761505127
59,4.953206539154053
60,6.1394453048706055
61,4.623250961303711
62,5.62367582321167
63,5.49815559387207
64,5.242495059967041
65,4.922017574310303
66,4.186123371124268
67,6.375
68,6.266118049621582
69,4.647362232208252
70,4.878746032714844
71,6.393986701965332
72,5.764259338378906
73,5.068192005157471
74,6.358831882476807
75,5.096386909484863
76,6.182352066040039
77,6.304078578948975
78,6.414210319519043
79,3.910961866378784
80,3.7711880207061768
81,4.480785846710205
82,3.3998398780822754
83,2.887493133544922
84,5.838181018829346
85,6.243347644805908
86,7.015925884246826
87,6.446096420288086
88,6.857041358947754
89,5.8993706703186035
90,4.514967441558838
91,4.109949111938477
92,4.587863922119141
93,5.161485195159912
94,5.778849124908447
95,5.2826690673828125
96,2.682966470718384
97,4.312953948974609
98,5.241285800933838
99,3.8618392944335938
